link,title,subtitle
https://www.br104.com.br/maceio/operacao-policial-prende-4-suspeitos-de-praticarem-assaltos-a-onibus-em-maceio/,Operação policial prende 4 suspeitos de praticarem assaltos a ônibus em Maceió,"Os suspeitos, são acusados de praticarem roubos a ônibus na capital alagoana"
https://www.br104.com.br/alagoas/renan-filho-e-alexandre-ayres-vistoriam-obras-do-hospital-metropolitano/,Renan Filho e Alexandre Ayres vistoriam obras do Hospital Metropolitano,Alagoas tem 2.761 casos confirmados do novo coronavírus até o momento
https://www.br104.com.br/uniao-dos-palmares/oab-de-uniao-dos-palmares-promove-campanha-contra-abuso-infantil-durante-o-isolamento-social/,OAB de União dos Palmares promove campanha contra abuso infantil durante o isolamento social,Estima-se que cerca de 90% dos casos de abuso contra crianças e adolescentes aconteçam no ambiente doméstico
https://www.br104.com.br/brasil/determinacao-do-tcu-obriga-militares-devolverem-valor-do-auxilio-emergencial-recebido-indevidamente/,Determinação do TCU obriga militares devolverem valor do Auxílio Emergencial recebido indevidamente,"Cerca de 73,2 mil militares ativos, inativos, temporários, pensionistas e anistiados receberam a quantia de R$ 600 do Auxílio Emergencial de forma irregular"
https://www.br104.com.br/economia/auxilio-emergencial-dinheiro-da-segunda-parcela-ja-esta-na-caixa-economica/,Auxílio Emergencial: Caixa está pronta para pagar a segunda parcela,O pagamento da segunda parcela já está com mais de 15 dias de atraso
https://www.br104.com.br/uniao-dos-palmares/coronavirus-se-espalha-e-atinge-15-bairros-de-uniao-dos-palmares/,Coronavírus se espalha e atinge 15 bairros de União dos Palmares,São 38 casos confirmados e 4 óbitos por infecção do novo coronavírus
https://www.br104.com.br/coronavirus/pai-de-alfredo-gaspar-morre-aos-82-anos-vitima-de-covid-19/,"Pai de Alfredo Gaspar morre aos 82 anos, vítima de Covid-19",A família informou que o velório e sepultamento seguirão o protocolo do Ministério da Saúde
https://www.br104.com.br/cultura/fundacao-palmares-diz-que-zumbi-era-gay-e-um-mito-criado-por-comunistas/,"Fundação Palmares diz que Zumbi era gay, e um mito criado por comunistas","O artigo publicado com a promessa de revelar a verdade sobre Zumbi dos Palmares, o chama de ""Zorro afro-brasileiro""."
https://www.br104.com.br/policia/policia-localiza-e-prende-acusado-de-estuprar-menor-com-problemas-mentais/,Polícia localiza e prende acusado de estuprar menor com problemas mentais,"O caso aconteceu na noite dessa terça-feira (12) no município de Girau do Ponciano, no agreste de Alagoas"
https://www.br104.com.br/esporte/saiba-quais-sao-os-paises-que-ja-tem-data-definida-para-retorno-de-suas-competicoes-esportivas/,Saiba quais são os países que já tem data definida para retorno de suas competições esportivas,As competições foram paralisadas no início de março como forma de prevenção ao novo coronavírus
https://www.br104.com.br/eleicoes-2020/disputa-por-partido-em-ibateguara-provoca-embate-entre-geo-cruz-e-joao-caldas/,Disputa por partido em Ibateguara provoca embate entre Geo Cruz e João Caldas,"Os ex-aliados e agora adversários políticos, brigaram pela liderança do Avante, partido cujo diretório municipal era conduzido por Geo Cruz"
https://www.br104.com.br/alagoas/em-alagoas-mais-de-56-dos-pacientes-com-covid-19-se-curaram/,"Em Alagoas, mais de 56% dos pacientes com covid-19 se curaram","Há 1.334 casos em investigação laboratorial, e o resultado desses exames deverão ser divulgados nos próximos dias."
https://www.br104.com.br/sao-jose-da-laje/coronavirus-sao-jose-da-laje-tem-12-casos-confirmados-e-76-suspeitos/,Coronavírus: São José da Laje tem 12 casos confirmados e 76 suspeitos,O município também já tem o primeiro paciente curado de Covid-19
https://www.br104.com.br/educacao/secretario-de-educacao-de-alagoas-pede-o-adiamento-do-enem-2020/,Secretário de Educação de Alagoas pede o adiamento do ENEM 2020,Luciano Barbosa disse considerar absurdo o MEC (Ministério da Educação) insistir em realizar o ENEM no meio de uma pandemia.
https://www.br104.com.br/coronavirus/dor-nas-costas-e-sintoma-de-covid-19-descubra/,Dor nas costas é sintoma de Covid-19? Descubra,"Com o avanço do novo coronavírus, tem se tornado cada vez mais frequente a busca desse termo na Internet"
https://www.br104.com.br/uniao-dos-palmares/coronavirus-em-uniao-dos-palmares-numero-de-casos-sobe-para-32/,Coronavírus em União dos Palmares: Número de casos sobe para 32,Foram confirmados mais 5 casos nas últimas 24 horas
https://www.br104.com.br/policia/jovem-agredido-apos-advertir-policial-sem-mascara-registra-boletim-de-ocorrencia/,Jovem agredido após advertir policial sem máscara registra Boletim de Ocorrência,O advogado da vítima concedeu uma entrevista exclusiva ao BR104
https://www.br104.com.br/politica/renan-filho-mantem-suspensas-em-alagoas-atividades-liberadas-por-bolsonaro/,Renan Filho mantém suspensas em Alagoas atividades liberadas por Bolsonaro,O governador fez o comunicado em suas redes sociais
https://www.br104.com.br/brasil/adolescente-de-16-anos-envenena-familia-porque-pais-nao-permitiram-namoro/,Adolescente de 16 anos envenena família porque pais não permitiram namoro,"A mãe da jovem e mais três irmãos e um sobrinho foram vítimas do envenenamento. O caso aconteceu em Santarém, no Pará"
https://www.br104.com.br/politica/internautas-pedem-que-renan-filho-desobedeca-bolsonaro-sobre-servicos-essenciais/,Internautas pedem que Renan Filho “desobedeça” Bolsonaro sobre serviços essenciais,"Bolsonaro decidiu incluir as atividades de salões de beleza, barbearias e academias de esportes, na categoria de serviços essenciais."
https://www.br104.com.br/alagoas/motoristas-de-transporte-alternativo-de-arapiraca-realizam-protesto-nesta-terca-feira-12/,Motoristas de transporte alternativo de Arapiraca realizam protesto nesta terça-feira (12),"Os manifestantes se reuniram nesta terça-feira (12) nas proximidades do Lago da Perucaba, para reivindicar ajuda financeira do Governo de Alagoas"
